LAU2_CODE,without_education,undetermined,lower_secondary_vocational_education,bachelors_degree,masters_degree,doctoral_degree,higher_vocational_education,primary_education,complete_secondary_vocational_education,complete_secondary_general_education,okres
SK0427523097,10.463576158940398,1.456953642384106,18.410596026490065,3.1788079470198674,10.993377483443709,0.9271523178807948,6.225165562913907,13.245033112582782,29.403973509933774,5.695364238410596,Michalovce
SK0427523101,11.012391863455694,5.611409866729016,19.523030161328034,2.758943184475099,10.077156885667524,0.4676174888940846,4.9567453822772976,16.109422492401215,25.08767827916764,4.395604395604396,Michalovce
SK0427523119,14.163090128755366,4.721030042918455,19.88555078683834,2.0028612303290414,5.007153075822604,0.28612303290414876,2.718168812589413,28.61230329041488,19.456366237482115,3.1473533619456364,Michalovce
SK0427523127,3.8461538461538463,5.128205128205128,26.282051282051277,2.564102564102564,14.102564102564102,0.641025641025641,7.05128205128205,10.256410256410255,23.076923076923073,7.051282051282051,Michalovce
SK0427523135,8.108108108108109,1.9656019656019657,21.62162162162162,2.7027027027027026,12.039312039312039,0.4914004914004914,4.668304668304668,13.022113022113022,31.203931203931205,4.176904176904177,Michalovce
SK0427523151,19.35483870967742,2.258064516129032,12.419354838709678,0.8064516129032258,10.0,0.16129032258064516,1.9354838709677418,37.25806451612904,12.741935483870966,3.064516129032258,Michalovce
SK0427523186,21.38755980861244,3.9712918660287078,11.5311004784689,1.1004784688995215,4.688995215311005,0.19138755980861244,2.488038277511962,40.334928229665074,11.052631578947368,3.2535885167464116,Michalovce
SK0427523194,10.409556313993175,3.4129692832764507,16.894197952218427,2.3890784982935154,19.112627986348123,0.8532423208191127,5.802047781569966,15.187713310580204,19.62457337883959,6.313993174061433,Michalovce
SK0427523208,9.73053892215569,1.9461077844311379,26.796407185628745,1.347305389221557,8.08383233532934,0.4491017964071856,3.2934131736526946,18.263473053892216,25.59880239520958,4.491017964071856,Michalovce
SK0427523216,8.396946564885496,1.9083969465648853,26.52671755725191,1.9083969465648856,12.213740458015266,0.0,4.770992366412214,12.977099236641221,26.33587786259542,4.961832061068702,Michalovce
SK0427523241,9.527824620573355,3.541315345699832,16.104553119730184,2.6981450252951094,16.441821247892076,0.6745362563237773,4.468802698145025,11.63575042158516,28.752107925801013,6.155143338954469,Michalovce
SK0427523259,11.04325699745547,5.2926208651399484,14.198473282442748,3.155216284987277,19.033078880407125,1.1195928753180662,5.5979643765903315,12.569974554707379,21.526717557251906,6.463104325699745,Michalovce
SK0427523275,11.877394636015326,4.597701149425287,26.4367816091954,1.1494252873563218,7.662835249042145,0.7662835249042145,7.2796934865900385,14.559386973180075,21.839080459770116,3.8314176245210727,Michalovce
SK0427523283,27.051926298157454,2.4288107202680065,8.710217755443885,0.33500837520938026,1.340033500837521,0.16750418760469013,1.2562814070351758,52.68006700167504,5.108877721943049,0.9212730318257957,Michalovce
SK0427523291,10.814249363867685,4.70737913486005,25.19083969465649,1.9083969465648856,5.216284987277354,0.0,4.8346055979643765,16.157760814249365,26.33587786259542,4.8346055979643765,Michalovce
SK0427523348,14.035087719298245,5.482456140350877,24.342105263157897,1.9736842105263157,6.359649122807018,0.21929824561403508,3.070175438596491,19.517543859649123,19.95614035087719,5.0438596491228065,Michalovce
SK0427523356,10.654205607476634,2.4299065420560746,26.542056074766357,1.6822429906542056,9.719626168224298,0.1869158878504673,3.9252336448598135,15.700934579439254,22.61682242990654,6.5420560747663545,Michalovce
SK0427523364,9.368635437881872,5.8044806517311605,18.83910386965377,2.6476578411405294,10.590631364562118,0.5091649694501018,2.5458248472505094,24.236252545824847,21.79226069246436,3.6659877800407332,Michalovce
SK0427523372,15.655577299412915,3.7181996086105675,15.264187866927593,1.5655577299412915,4.305283757338552,0.19569471624266144,1.4677103718199607,41.68297455968688,13.60078277886497,2.5440313111545985,Michalovce
SK0427528137,13.492063492063492,3.968253968253968,20.634920634920633,0.7936507936507936,5.555555555555555,0.5291005291005291,7.142857142857142,22.22222222222222,20.105820105820104,5.555555555555555,Michalovce
SK0427528277,14.19068736141907,2.4390243902439024,20.288248337028826,2.2172949002217295,6.430155210643015,0.11086474501108648,3.7694013303769403,23.28159645232816,20.17738359201774,7.095343680709535,Michalovce
SK0427528307,8.630952380952381,2.083333333333333,18.75,1.7857142857142856,14.285714285714285,1.7857142857142856,3.8690476190476195,11.904761904761903,28.273809523809522,8.630952380952381,Michalovce
SK0427528331,21.926489226869457,5.513307984790875,15.082382762991127,0.6337135614702154,1.7743979721166032,0.06337135614702154,1.3307984790874523,46.451204055766794,5.32319391634981,1.9011406844106464,Michalovce
SK0427528391,3.296703296703297,8.791208791208792,29.67032967032967,2.197802197802198,6.593406593406594,1.098901098901099,9.89010989010989,23.076923076923077,9.89010989010989,5.4945054945054945,Michalovce
SK0427528404,21.66488794023479,5.016008537886872,14.08751334044824,1.2806830309498398,4.482390608324439,0.0,4.482390608324439,25.186766275346855,18.996798292422625,4.8025613660619,Michalovce
SK0427528463,20.12987012987013,3.7878787878787876,16.883116883116884,1.83982683982684,3.787878787878788,0.10822510822510822,2.8138528138528134,30.952380952380956,15.692640692640692,4.004329004329004,Michalovce
SK0427528579,11.914893617021276,11.914893617021276,24.822695035460995,1.276595744680851,2.8368794326241136,0.28368794326241137,4.397163120567376,22.411347517730498,15.460992907801417,4.680851063829787,Michalovce
SK0427528633,10.404624277456648,8.526011560693643,19.653179190751445,1.5895953757225432,6.213872832369942,0.2890173410404624,4.479768786127167,26.878612716763005,16.90751445086705,5.057803468208093,Michalovce
SK0427528692,6.29067245119306,1.735357917570499,20.607375271149674,3.9045553145336225,9.761388286334057,0.8676789587852495,7.158351409978309,18.655097613882862,25.379609544468543,5.639913232104121,Michalovce
SK0427528714,15.10673234811166,2.955665024630542,16.748768472906406,2.4630541871921183,7.8817733990147785,0.3284072249589491,3.1198686371100166,24.63054187192118,22.003284072249592,4.761904761904762,Michalovce
SK0427543853,10.148880554608478,12.205932492328674,17.888396408682805,2.4548244118649847,9.285146039322651,0.2954881236504148,4.955108535060802,15.63814069780657,20.956926923514036,6.171155813160587,Michalovce
SK0427543870,3.1358885017421603,2.7874564459930316,26.13240418118467,3.484320557491289,8.013937282229964,0.6968641114982579,5.923344947735193,13.588850174216027,29.268292682926827,6.968641114982578,Michalovce
